"","Number","USGS_ID","COM_ID","Min_Dis_Jan","Min_Dis_Feb","Min_Dis_Mar","Min_Dis_Apr","Min_Dis_May","Min_Dis_Jun","Min_Dis_Jul","Min_Dis_Aug","Min_Dis_Sep","Min_Dis_Oct","Min_Dis_Nov","Min_Dis_Dec","Max_Dis_Jan","Max_Dis_Feb","Max_Dis_Mar","Max_Dis_Apr","Max_Dis_May","Max_Dis_Jun","Max_Dis_Jul","Max_Dis_Aug","Max_Dis_Sep","Max_Dis_Oct","Max_Dis_Nov","Max_Dis_Dec","Ave_Dis_Jan","Ave_Dis_Feb","Ave_Dis_Mar","Ave_Dis_Apr","Ave_Dis_May","Ave_Dis_Jun","Ave_Dis_Jul","Ave_Dis_Aug","Ave_Dis_Sep","Ave_Dis_Oct","Ave_Dis_Nov","Ave_Dis_Dec","Min_Temp_Jan","Min_Temp_Feb","Min_Temp_Mar","Min_Temp_Apr","Min_Temp_May","Min_Temp_Jun","Min_Temp_Jul","Min_Temp_Aug","Min_Temp_Sep","Min_Temp_Oct","Min_Temp_Nov","Min_Temp_Dec","Max_Temp_Jan","Max_Temp_Feb","Max_Temp_Mar","Max_Temp_Apr","Max_Temp_May","Max_Temp_Jun","Max_Temp_Jul","Max_Temp_Aug","Max_Temp_Sep","Max_Temp_Oct","Max_Temp_Nov","Max_Temp_Dec","Ave_Temp_Jan","Ave_Temp_Feb","Ave_Temp_Mar","Ave_Temp_Apr","Ave_Temp_May","Ave_Temp_Jun","Ave_Temp_Jul","Ave_Temp_Aug","Ave_Temp_Sep","Ave_Temp_Oct","Ave_Temp_Nov","Ave_Temp_Dec","Min_Do_Jan","Min_Do_Feb","Min_Do_Mar","Min_Do_Apr","Min_Do_May","Min_Do_Jun","Min_Do_Jul","Min_Do_Aug","Min_Do_Sep","Min_Do_Oct","Min_Do_Nov","Min_Do_Dec","Max_Do_Jan","Max_Do_Feb","Max_Do_Mar","Max_Do_Apr","Max_Do_May","Max_Do_Jun","Max_Do_Jul","Max_Do_Aug","Max_Do_Sep","Max_Do_Oct","Max_Do_Nov","Max_Do_Dec","Ave_Do_Jan","Ave_Do_Feb","Ave_Do_Mar","Ave_Do_Apr","Ave_Do_May","Ave_Do_Jun","Ave_Do_Jul","Ave_Do_Aug","Ave_Do_Sep","Ave_Do_Oct","Ave_Do_Nov","Ave_Do_Dec","Base_Dis_5%","Base_Dis_25%","Dis_Avail_Data_%","Temp_Avail_Data_%","DO_Avail_Data_%","HDI"
"1",1,2339495,99999,16.6,24.6,36.9,12.5,5.44,0.37,0.21,0.15,0.03,0.01,0.13,6.54,1690,3140,1940,2020,1610,431,922,528,375,491,2830,5570,138.297096774194,192.869964664311,146.373225806452,136.101333333333,61.1702903225806,26.8923666666667,26.9262658227848,17.748211143695,14.2722424242424,20.2538278931751,65.6132,164.682709677419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,8.185,100,0,0,0
"2",2,2342500,99999,32.1,71.9,105,30.6,8.12,3.1,3.13,1.06,1.01,2.64,3.7,11.9,7160,9550,16100,9480,4860,3110,18500,2800,3220,6680,15100,18500,478.618817204301,767.57223042836,887.411290322581,583.162150837989,193.000395634379,153.429944444444,232.025215053763,102.872449255751,71.5154583333333,116.288440860215,219.191347826087,518.998457223001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2815,32.2,100,0,0,16
"3",3,2342933,99999,9.9,18,18,9.11,0.42,0.29,0.08,0.51,0.53,0.43,1.28,3.54,6560,4160,7060,3700,3760,868,10200,3320,2150,2740,4740,7730,160.573174872666,232.127798507463,305.721731748727,155.596333333333,77.6644312393888,43.9490350877193,83.1816468590832,53.7595076400679,44.8570877192982,34.5612056737589,79.7095555555556,152.0979390681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.536,8.49,100,0,0,10
"4",4,2343300,99999,137,165,240,187,107,56,42,43,NA,NA,NA,NA,748,471,1380,738,243,103,114,57,NA,NA,NA,NA,285.096774193548,270.214285714286,500.806451612903,308.8,152.41935483871,76.0666666666667,62.7096774193548,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,85,100,0,0,10
"5",5,2361000,99999,192,213,209,100,51,38.9,37,35.4,35.8,51.9,64.8,130,11800,9390,34400,12600,7780,5650,56500,5140,7800,9200,4630,23000,1146.56048387097,1410.38643067847,1479.10887096774,1333.85,595.579301075269,451.691944444444,886.044758064516,472.343010752688,373.520555555556,386.657795698925,526.552608695652,1137.84852734923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.32,238,100,0,0,11
"6",6,2361500,99999,433,548,579,374,219,176,200,173,183,216,245,341,16400,19000,30000,20200,17200,8160,14400,10100,8560,4860,7550,37700,2095.875,2672.41371681416,2566.04838709677,2899.34166666667,1335.06451612903,1083.93958333333,1428.20967741935,1319.48387096774,905.94375,735.512096774194,1114.06222222222,2270.1063394683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,607,100,0,0,0
"7",7,2362240,99999,11,10,7.12,6.41,1.9,1.4,1.1,1.2,2.5,3.8,4.5,9.1,527,555,3440,838,241,236,3610,307,1920,1190,439,1050,40.4876344086021,48.1716814159292,52.0156989247312,43.8300416666667,25.0524193548387,23.5523472222222,35.3727016129032,24.0284274193548,26.7840972222222,26.1251209677419,29.3001449275362,42.0040673211781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.39,14.2,100,0,0,9
"8",8,2363000,99999,91,120,128,40.2,12,8.05,3.3,4.9,4.38,7.74,15.8,34.8,13000,6310,18200,9210,4730,3780,16000,7470,3380,8760,4580,46300,778.811021505376,1019.67256637168,1157.0564516129,873.173611111111,330.545161290323,251.768486111111,413.117594086021,256.635591397849,160.353013888889,191.090833333333,314.247826086957,844.303927068724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.72,70,100,0,0,8
"9",9,2364500,99999,292,401,391,172,56.2,43.5,60.9,56.4,60.9,70.6,78.2,178,19800,10500,15200,16700,9810,5660,8030,8250,11900,4660,8310,44200,2083.75576036866,2457.43686868687,2263.92396313364,2632.58095238095,1177.13410138249,807.594761904762,1039.16152073733,1067.3801843318,759.819047619048,487.06,926.558809523809,2391.99078341014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.2,371,100,0,0,11
"10",10,2364570,99999,9.1,13,24,13,2,1.3,1.7,1.2,1.9,1.4,6.2,5.8,268,946,869,329,198,367,6000,392,30,296,101,57,45.2344086021505,73.3690476190476,93.7204301075269,47.1555555555556,23.3215053763441,31.3622222222222,155.35376344086,22.6376344086021,7.14719101123595,21.4548387096774,13.7316666666667,15.891935483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8.3,100,0,0,12
