"","COMID","GageID"
"1",22548559,"11046000"
"2",22548457,"11044300"
"3",20342539,"11042000"
"4",22549075,"11044000"
"5",20331516,"11023000"
"6",20331402,"11022480"
"7",22549471,"11042400"
"8",20333160,"11016200"
"9",20330878,"11025500"
"10",20334508,"11014000"
"11",22599679,"10254050"
"12",21412723,"09521100"
"13",21412731,"09526000"
"14",9998136,"09427520"
"15",10010638,"09429000"
"16",22593537,"10258500"
"17",22593529,"10259100"
"18",22593695,"10259300"
"19",22535256,"11069500"
"20",948100389,"10257548"
"21",22534666,"11070500"
"22",22534638,"11070270"
"23",22532938,"11070365"
"24",24843752,"11059300"
"25",22557960,"11057500"
"26",22557922,"11060400"
"27",22558244,"11051502"
"28",22547091,"11042800"
"29",22660257,"10260950"
"30",22660265,"10260500"
"31",22554826,"11062000"
"32",22557744,"11063510"
"33",22563116,"11074000"
"34",22560716,"11072100"
"35",22524845,"11085000"
"36",22521721,"11087020"
"37",22563212,"11078000"
"38",22563210,"11077500"
"39",22684930,"10263500"
"40",22515812,"11092450"
"41",22515762,"11097000"
"42",17575785,"11109000"
"43",17575859,"11109800"
"44",17572335,"11109600"
"45",17574345,"11113000"
"46",948070372,"11118500"
"47",17573647,"11113500"
"48",17562626,"11106550"
"49",17611449,"11123500"
"50",17610919,"11123000"
"51",17585808,"11114495"
"52",17620568,"11136100"
"53",17608959,"11134000"
"54",17633130,"11136800"
"55",17632398,"11137900"
"56",17625349,"11140000"
"57",17625465,"11140585"
"58",17620166,"11135800"
"59",948060325,"11133000"
"60",17609017,"11132500"
"61",17625379,"11138500"
"62",17609015,"11128500"
"63",17607945,"11128250"
"64",17611425,"11124500"
"65",17567911,"11111500"
"66",17572259,"11109550"
"67",948090919,"10261500"
"68",22656105,"10262500"
"69",20247268,"10251300"
"70",20247386,"10251330"
"71",14961121,"11189500"
"72",14930789,"11204100"
"73",14882615,"11253310"
"74",14883269,"11224500"
"75",8212843,"11147500"
"76",8211251,"11150500"
"77",8212787,"11149400"
"78",17665649,"11156500"
"79",8210533,"11149900"
"80",8209949,"11148900"
"81",8205487,"11151300"
"82",8205291,"11152000"
"83",948060170,"11151700"
"84",8205489,"11152050"
"85",8200795,"11152300"
"86",17687965,"11162570"
"87",8189809,"11143000"
"88",17599295,"11143250"
