"","GageID","COMID"
"16","10258500",22593537
"32","11063510",22557744
"39","10263500",22684930
"45","11113000",17574345
"47","11113500",17573647
"54","11136800",17633130
"55","11137900",17632398
"56","11140000",17625349
"60","11132500",17609017
"61","11138500",17625379
"64","11124500",17611425
"65","11111500",17567911
"69","10251300",20247268
"71","11189500",14961121
"73","11253310",14882615
"82","11152000",8205291
"87","11143000",8189809
"106","11176400",2806807
"110","11157500",17663805
"127","11266500",21609641
"129","10296500",946050152
"130","10296000",10744424
"131","11264500",21609533
"133","10308200",8922715
"134","11276500",17081559
"162","11468000",2665613
"163","11468500",2665525
"172","11451100",8005975
"193","11355500",7952754
"194","11383500",8020924
"206","11526500",8244332
"207","11480390",8320019
"209","11528700",8232392
"212","11478500",2705477
"216","11469000",2544433
"217","11532500",22226812
"219","11481200",8315847
"220","11482500",8315607
"224","11521500",4440524
"225","11522500",8261865
"231","11523200",8242324
