Number,USGS_ID,COM_ID,Min_Dis_Jan,Min_Dis_Feb,Min_Dis_Mar,Min_Dis_Apr,Min_Dis_May,Min_Dis_Jun,Min_Dis_Jul,Min_Dis_Aug,Min_Dis_Sep,Min_Dis_Oct,Min_Dis_Nov,Min_Dis_Dec,Max_Dis_Jan,Max_Dis_Feb,Max_Dis_Mar,Max_Dis_Apr,Max_Dis_May,Max_Dis_Jun,Max_Dis_Jul,Max_Dis_Aug,Max_Dis_Sep,Max_Dis_Oct,Max_Dis_Nov,Max_Dis_Dec,Ave_Dis_Jan,Ave_Dis_Feb,Ave_Dis_Mar,Ave_Dis_Apr,Ave_Dis_May,Ave_Dis_Jun,Ave_Dis_Jul,Ave_Dis_Aug,Ave_Dis_Sep,Ave_Dis_Oct,Ave_Dis_Nov,Ave_Dis_Dec,Min_Temp_Jan,Min_Temp_Feb,Min_Temp_Mar,Min_Temp_Apr,Min_Temp_May,Min_Temp_Jun,Min_Temp_Jul,Min_Temp_Aug,Min_Temp_Sep,Min_Temp_Oct,Min_Temp_Nov,Min_Temp_Dec,Max_Temp_Jan,Max_Temp_Feb,Max_Temp_Mar,Max_Temp_Apr,Max_Temp_May,Max_Temp_Jun,Max_Temp_Jul,Max_Temp_Aug,Max_Temp_Sep,Max_Temp_Oct,Max_Temp_Nov,Max_Temp_Dec,Ave_Temp_Jan,Ave_Temp_Feb,Ave_Temp_Mar,Ave_Temp_Apr,Ave_Temp_May,Ave_Temp_Jun,Ave_Temp_Jul,Ave_Temp_Aug,Ave_Temp_Sep,Ave_Temp_Oct,Ave_Temp_Nov,Ave_Temp_Dec,Min_Do_Jan,Min_Do_Feb,Min_Do_Mar,Min_Do_Apr,Min_Do_May,Min_Do_Jun,Min_Do_Jul,Min_Do_Aug,Min_Do_Sep,Min_Do_Oct,Min_Do_Nov,Min_Do_Dec,Max_Do_Jan,Max_Do_Feb,Max_Do_Mar,Max_Do_Apr,Max_Do_May,Max_Do_Jun,Max_Do_Jul,Max_Do_Aug,Max_Do_Sep,Max_Do_Oct,Max_Do_Nov,Max_Do_Dec,Ave_Do_Jan,Ave_Do_Feb,Ave_Do_Mar,Ave_Do_Apr,Ave_Do_May,Ave_Do_Jun,Ave_Do_Jul,Ave_Do_Aug,Ave_Do_Sep,Ave_Do_Oct,Ave_Do_Nov,Ave_Do_Dec,Base_Dis_5%,Base_Dis_25%,Dis_Avail_Data_%,Temp_Avail_Data_%,DO_Avail_Data_%,HDI
1,9423350,99999,0,0,0,0,0,0,0,0,0,0,0,0,14,10,5,3.4,0.16,0,1.6,20,3.1,2.87,1.47,17.6,0.234180108,0.178952802,0.139704301,0.054291667,0.001935484,0,0.019206989,0.053642473,0.024055556,0.00688172,0.012086957,0.095259467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,0
2,10250800,99999,0,0,0,0,0,0,0,0,0,0,0,0,14,10,5,3.4,0.16,0,1.6,20,3.1,2.87,1.47,17.6,0.234180108,0.178952802,0.139704301,0.054291667,0.001935484,0,0.019206989,0.053642473,0.024055556,0.00688172,0.012086957,0.095259467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,6
3,10251300,99999,0.19,0.02,0.02,0,0,0,0,0,0,0.01,0.01,0.13,212,436,216,137,6.2,0.38,220,490,683,1170,67.2,437,7.113875598,10.66124789,3.163179724,1.174174603,0.150184332,0.071126984,0.728817204,1.212334869,2.946761905,5.188322581,0.981824561,4.247589134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.06,100,0,0,8
4,10255700,99999,0.19,0.02,0.02,0,0,0,0,0,0,0.01,0.01,0.13,212,436,216,137,6.2,0.38,220,490,683,1170,67.2,437,7.113875598,10.66124789,3.163179724,1.174174603,0.150184332,0.071126984,0.728817204,1.212334869,2.946761905,5.188322581,0.981824561,4.247589134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.06,100,0,0,9
5,10255800,99999,0.19,0.02,0.02,0,0,0,0,0,0,0.01,0.01,0.13,212,436,216,137,6.2,0.38,220,490,683,1170,67.2,437,7.113875598,10.66124789,3.163179724,1.174174603,0.150184332,0.071126984,0.728817204,1.212334869,2.946761905,5.188322581,0.981824561,4.247589134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.06,100,0,0,8
6,10255810,99999,0.13,0.09,0,0,0,0,0,0,0,0,0,0,114,113,149,16,6.4,4.1,0.2,50,0.49,0,3.2,8.03,3.283606557,3.355457227,2.675887097,1.463222222,0.546155914,0.184722222,0.012876344,0.334811828,0.048463687,0,0.113033333,0.548483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,7
7,10255850,99999,0.13,0.09,0,0,0,0,0,0,0,0,0,0,114,113,149,16,6.4,4.1,0.2,50,0.49,0,3.2,8.03,3.283606557,3.355457227,2.675887097,1.463222222,0.546155914,0.184722222,0.012876344,0.334811828,0.048463687,0,0.113033333,0.548483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,8
8,10256000,99999,0.13,0.09,0,0,0,0,0,0,0,0,0,0,114,113,149,16,6.4,4.1,0.2,50,0.49,0,3.2,8.03,3.283606557,3.355457227,2.675887097,1.463222222,0.546155914,0.184722222,0.012876344,0.334811828,0.048463687,0,0.113033333,0.548483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,9
9,10256500,99999,0.02,0,0.07,0.05,0.05,0,0,0.04,0.04,0,0,0.1,909,364,481,57.4,73,34,15,34.6,45,178,60.3,643,13.8700672,13.59088496,11.32158602,7.562388889,7.138413978,4.056319444,2.533373656,2.422217742,2.141055556,2.024475806,2.518536232,7.280715288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.59,100,0,0,7
10,10257500,99999,0,0,0,0,0,0,0,0,0.02,0.04,0.11,0,210,64.4,50,8.88,7,4.4,4.31,11.6,21,30,24,103,1.952492669,1.981286174,1.498079179,0.958757576,0.934706745,0.690075758,0.512683284,0.403768328,0.4485,0.496025281,0.592606061,1.260615836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.19,100,0,0,0
