sitename,total_disturbance_index
1011000,13
1013500,9
1015800,9
1016500,7
1017000,9
1018000,19
1019000,17
1021200,21
1021500,11
1022500,12
1023000,9
1029500,11
1030000,21
1030500,14
1031500,17
1033000,16
1033500,8
1034000,16
1034500,20
1035000,19
1036500,9
1038000,20
1041000,16
1042500,18
1043500,13
1045000,14
1046000,8
1046500,17
1047000,13
1048000,15
1049000,22
1049265,22
1049500,21
1052500,8
1053500,16
1054000,23
1054200,6
1054300,6
1054500,18
1055000,4
1055500,14
1057000,17
1058500,25
1059000,26
1059800,13
1060000,12
1064118,32
1064300,5
1064400,2
1064500,10
1065000,16
1065500,16
1066000,16
1066500,20
1069500,25
1072500,21
1073000,14
1073500,25
1073600,14
1075000,11
1075800,4
1076000,18
1076500,16
1077000,18
1078000,14
1081000,34
1081500,26
1082000,20
1083000,29
1084000,15
1084500,14
1085000,25
1085500,34
1085800,10
1086000,18
1087000,21
1088000,29
1089000,17
1089500,27
1090800,30
1091000,16
1091500,27
1092000,29
1093000,24
1093800,6
1094000,27
1094400,20
1094500,30
1096000,15
1096500,31
10965852,23
1097000,35
1097300,16
1098530,34
1099500,36
1100000,31
1100600,18
1101000,20
1101500,23
1102000,26
1102500,22
1103500,25
1104200,25
1104500,29
1105000,27
1105500,20
1105600,16
1105730,23
1105870,20
1105880,21
1106000,32
1108000,29
1108500,22
1109000,28
1109060,29
1109070,14
1109403,34
1109500,37
1110000,26
1110500,35
1111200,25
1111300,15
1111500,29
1112500,34
1114000,25
1114500,29
1116000,21
1116500,31
1117000,19
1117350,16
1117420,13
1117468,11
1117500,20
1117800,14
1118000,17
1118300,9
1118500,20
1119500,27
1120000,15
1120500,14
1121000,16
1122000,27
1122500,30
1123000,14
1123360,32
1123600,35
1124000,34
1124151,33
1124350,32
1125000,32
1125500,35
1126000,18
1126500,18
1127000,30
1127500,17
1127880,9
1128500,23
1129200,19
1130000,8
1133000,9
1134500,5
1135000,7
1135500,16
1137500,5
1138000,13
1139000,18
1139800,7
1141500,11
1141800,6
1142500,9
1144000,12
1145000,9
1150500,15
1150900,14
1151500,19
1152500,26
1153000,26
1153500,16
1153550,15
1154000,13
1154500,26
1155000,10
1155500,18
1156000,21
1156500,27
1157000,12
1158000,12
1158600,20
1160000,17
1161000,21
1161500,17
1162000,32
1162500,14
1163200,29
1164000,29
1165000,20
1165500,11
1166500,28
1168151,29
1168500,26
1169000,21
1169900,12
1170000,26
1170100,13
1170500,27
1171300,11
1171500,13
1172500,32
1173000,30
1173500,33
1174000,10
1174600,9
1174900,7
1175500,21
1175670,20
1176000,28
1177000,31
1179500,16
1180000,16
1180500,22
1181000,15
1183500,30
1184000,27
1184100,15
1184490,16
1184500,16
1185500,26
1186000,29
1186500,30
1187300,11
1187400,11
1187800,14
1188000,13
1188090,30
1189000,33
1189995,33
1190000,34
1190500,22
1191000,24
1192500,32
1192883,20
1193500,18
1194500,15
1195100,17
1195200,19
1196500,27
1196620,18
1197000,27
1197500,29
1198000,12
1198500,23
1199000,27
1199050,18
1199200,11
1200000,21
1200500,23
1204000,19
1205500,30
1205600,19
1205700,23
1206900,34
1208500,35
1208873,23
1208925,27
1208950,16
1208990,16
1209700,22
1300000,23
1300500,20
1301000,27
1301500,28
1302000,34
1302500,22
1303000,25
1303500,24
1304000,25
1304500,24
1305000,23
1305500,21
1306000,25
1306440,18
1306460,17
1306500,22
1307000,20
1307500,20
1308000,22
1308500,23
1309000,19
1309500,23
1310000,28
1310500,24
1311000,22
1311500,27
1312000,12
1315000,13
1315500,15
1317000,19
1318500,16
1319000,6
1321000,11
1325000,16
1327750,22
1328000,10
1329000,8
1329490,14
1329500,14
1330000,14
1330500,12
1331095,21
1331500,20
1332000,9
1332500,24
1333000,8
1333500,10
1334000,17
1334500,20
1335754,23
1336000,13
1346000,16
1347000,24
1348000,17
1349000,10
1350000,17
1350080,13
1350120,16
1350140,15
1350180,24
1350355,22
