"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",10.94754653,163.200200818616,1657.111283,30.6862377715,94.55134017,49.9773636218247,136.841681871627
"2","February",24.2052608,144.722588663053,2169.556519,59.496383903,84.02315531,66.5104973718623,122.830510714235
"3","March",27.36886631,133.725739602513,759.6478991,54.769368686,83.64793698,62.8804614798996,116.477143894464
"4","April",17.30418644,113.536365758417,1209.748034,33.6923987345,59.95768173,40.2181943570201,89.5895833426834
"5","May",5.091197712,78.6838131642339,946.1681945,16.133652401,36.72357425,21.174733026471,56.4543480344237
"6","June",1.074154431,45.0096252344819,555.0141229,4.76012271685,13.62557538,6.87355186358377,24.6411187524947
"7","July",0.868152211,31.2432654293952,2320.306,2.472026635,6.84589518975,3.51187263833689,14.2123016104857
"8","August",0.706293324,17.7814835328105,802.7170775,0.8997882666,4.94405327,1.97587218061385,9.36886388615994
"9","September",0.353146662,26.8068990220014,1004.290249,0.52677710415,3.531466621,1.13934504456367,8.66008199385217
"10","October",0.353146662,40.5955910774758,534.7229042,0.706293324,2.468348024,1.11991675820907,16.1146856759961
"11","November",0.353146662,61.0727254478043,759.5596125,1.412586649,13.30921483,3.48098773007987,33.9067401496247
"12","December",1.765733311,135.395460677393,2888.106975,6.315439474,56.93018482,17.120303663786,86.6711933615558
