"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",1.412586669,777.805399693274,11165.93847,24.01397337,216.4200492,49.2423239890256,420.923001845972
"2","February",1.765733336,727.746228953041,9175.26542,167.512245545,306.30323325,1265.04357580583,5908.55125420659
"3","March",112.2859257,906.712232573656,13998.2336,218.115888915,468.40491075,285.735884753693,666.014888941003
"4","April",72.38035233,695.184345022306,5835.557388,219.351166545,406.98681955,258.175987101582,599.542719120374
"5","May",34.43180005,504.083360800659,4160.141312,70.4858676105,213.238050575,118.525819272023,394.682316326699
"6","June",10.32954002,207.689575450542,1355.053191,26.5838510945,52.1516698075,31.5174648844035,101.169859628808
"7","July",3.178320005,42.1912728382191,422.8489907,6.8510453437,13.41589474,8.46974399289944,22.9840774730592
"8","August",1.059440002,8.86563078884946,67.80416011,2.118880003,3.58296722775,2.50266017043975,6.19129495778284
"9","September",0.706293334,4.39036663135972,251.7935737,1.02927539075,1.412586669,1.04530267730711,2.33014349618763
"10","October",0.353146667,28.6246089780376,3380.15804,0.706293334,1.059440002,0.618942883368584,1.97074977889113
"11","November",0.353146667,60.7084168461029,5223.451213,0.706293334,2.118880003,1.06205772711806,6.20991758761705
"12","December",1.059440002,562.058466192042,12126.0854,3.2872068938,24.01397337,7.9543375252658,173.765653117702
