"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",10,318.625134408602,8270,20.745,83.35,41.0370984375915,160.59215269951
"2","February",28,318.451032448378,7500,57.17,105.25,68.5342951795635,172.744215981197
"3","March",32,316.363575268817,4330,70.16,118,76.8369549677887,188.776612061671
"4","April",19.8,240.775972222222,4420,44.975,74.45,50.7791424890179,129.830288878744
"5","May",6.7,152.825,6090,13,27.5,16.7674978932556,52.865580982928
"6","June",3.15,91.7395833333333,3770,6.1385,13.4,7.39862928410589,24.0678546311764
"7","July",1.94,45.8360215053763,3200,4.13,8.26,5.12296317729985,15.6451800336501
"8","August",0.66,19.3012768817204,956,2.026,6.0925,3.03085511446722,10.2861843422088
"9","September",0.63,42.60625,2690,1.8385,4.245,2.1591991092899,8.1216987537234
"10","October",0.56,52.6550940860215,3520,1.4,4,2.19905085288501,10.0959014488546
"11","November",1.8,85.1967826086957,4100,5.1335,12,6.74791390114027,26.0811271408832
"12","December",4.3,260.34476858345,7480,9.924,35,17.930112841848,96.7355890300919
