"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",0.03,34.7811559139785,1850,0.18,1.5,0.375639128210597,3.15856826633492
"2","February",0.15,48.1479351032448,1570,0.2685,2.0275,0.53520252118035,5.69179980179206
"3","March",0.08,51.8651209677419,5390,0.24,2.1,0.679068521606293,5.7907864533858
"4","April",0.04,13.3422638888889,869,0.11,1.2375,0.354080378677249,3.70006134467329
"5","May",0.04,5.05182795698925,144,0.07,0.62,0.177007701271339,2.09438651605843
"6","June",0.02,2.64775,16.3,0.04,0.33,0.0879075186951194,1.36453797148262
"7","July",0.01,1.57213802435724,9.9,0.04,0.15,0.0563572356875613,0.75395012954689
"8","August",0.02,1.07853494623656,6.6,0.03,0.13,0.0409969747673643,0.521921661637657
"9","September",0.01,0.850375,7.3,0.02,0.1,0.0316726778063582,0.416687472398772
"10","October",0.01,0.964771505376344,15,0.03,0.11,0.0468127540076024,0.482791200432831
"11","November",0.01,1.62659420289855,67.5,0.03,0.3425,0.0883721543730064,0.747656532102966
"12","December",0.02,7.84549789621318,1040,0.046,0.85,0.180526378455947,1.40929363370856
