"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",18.01047977,324.910921944207,2753.20495,54.82086924,191.317204225,95.3476676392556,272.876613125982
"2","February",44.51119387,289.938608394484,4104.505938,115.24426313,166.62268815,130.684896832845,245.387132150072
"3","March",55.88545928,265.055599458481,1331.40706,107.07995374,167.740985875,126.106936742077,231.900225297195
"4","April",35.43238177,222.435401954083,2228.664441,71.780001966,119.529109275,81.4361618713837,177.663553883019
"5","May",9.314243214,150.441375243989,1523.018553,30.2242042265,70.74336937,40.0296745701644,112.220007495438
"6","June",1.765733311,84.0419440946042,1136.028669,7.7964482884,24.8784466275,11.7575841017577,44.2637885736128
"7","July",1.118297763,58.2158198341075,5086.165372,3.6683109532,10.9438679175,5.41729703325367,23.9172427225837
"8","August",0.706293324,31.3518347986962,1290.324331,1.236013317,7.47125907075,2.82654510369134,15.4434902427202
"9","September",0.353146662,47.0853892849542,1600.122241,0.706293324,5.297199932,1.70163994650696,14.5559300535378
"10","October",0.353146662,78.1268146352782,978.245683,1.059439986,4.1789021685,1.66303450632532,30.2203755210676
"11","November",0.353146662,118.509123988954,1188.382661,2.1255014728,24.871089405,5.86711815723011,65.9708923535488
"12","December",2.472026635,266.960777594285,5971.974917,10.553199416,110.5496197,30.9907595698019,169.15249188
